tick,event,detail
42,catch,Drone menangkap penjahat
73,catch,Drone menangkap penjahat
241,catch,Drone menangkap penjahat
340,catch,Drone menangkap penjahat
404,catch,Drone menangkap penjahat
410,catch,Drone menangkap penjahat
544,catch,Drone menangkap penjahat
648,catch,Drone menangkap penjahat
728,catch,Drone menangkap penjahat
735,catch,Drone menangkap penjahat
737,catch,Drone menangkap penjahat
839,catch,Drone menangkap penjahat
923,catch,Drone menangkap penjahat
951,catch,Drone menangkap penjahat
1717,catch,Drone menangkap penjahat
1748,catch,Drone menangkap penjahat
3849,catch,Drone menangkap penjahat
3876,catch,Drone menangkap penjahat
4042,catch,Drone menangkap penjahat
4098,catch,Drone menangkap penjahat
4177,catch,Drone menangkap penjahat
4178,catch,Drone menangkap penjahat
4263,catch,Drone menangkap penjahat
4267,catch,Drone menangkap penjahat
4396,catch,Drone menangkap penjahat
4451,catch,Drone menangkap penjahat
